industry,Within this business or another business owned by the same company,"Clients, customers or buyers",Suppliers,Competitors or other businesses from the same industry,Consultants,Universities or other higher education institutions,Government agencies,Private non-profit research institutions,Commercial laboratories or research and development enterprises,"Websites, journals, research papers or publications","Professional conferences, seminars, meetings or trade shows",Industry associations
"Agriculture, Forestry and Fishing",49.2,34.7,25.5,33.1,32.9,5.8,9.6,3.6,6.4,35.6,22.1,24.4
Mining,73.1,26.2,11.7,21.9,28.0,7.2,5.3,,6.8,8.4,11.4,14.7
Manufacturing,71.8,43.3,23.6,21.6,12.1,4.0,2.2,2.2,1.6,15.7,10.9,10.8
"Electricity, Gas, Water and Waste Services",67.2,29.9,13.7,30.0,22.2,4.7,3.4,,,23.3,19.1,12.3
Construction,49.2,34.1,24.0,26.5,15.3,0.1,0.9,,,23.4,16.0,19.0
Wholesale Trade,54.6,50.2,37.0,32.8,14.5,0.3,1.3,,2.0,20.4,20.8,12.3
Retail Trade,50.9,41.9,37.7,28.7,11.6,1.3,2.0,0.2,1.0,25.6,22.5,13.3
Accommodation and Food Services,58.4,40.7,21.2,33.8,17.2,,5.1,0.0,,23.8,11.5,7.1
"Transport, Postal and Warehousing",53.3,45.4,28.2,21.3,13.2,,4.0,0.0,1.6,18.9,8.6,17.6
Information Media and Telecommunications,68.8,42.1,21.7,30.9,21.7,3.1,1.0,,,32.3,21.1,13.6
Financial and Insurance Services,58.9,31.0,26.2,35.8,18.0,1.1,4.0,1.0,,26.4,42.5,32.5
"Rental, Hiring and Real Estate Services",58.6,40.0,15.0,39.1,25.0,,0.0,0.0,,26.3,26.1,19.7
"Professional, Scientific and Technical Services",62.8,37.5,16.2,26.5,17.6,5.0,2.9,0.0,1.6,27.3,29.8,15.4
Administrative and Support Services,56.3,41.5,22.6,23.7,17.4,0.0,3.1,,,36.2,22.4,21.8
Health Care and Social Assistance,45.1,28.8,18.5,24.1,33.2,5.8,6.1,7.0,0.0,29.2,36.0,22.6
Arts and Recreation Services,60.6,47.3,17.9,28.8,15.4,3.2,2.1,0.0,,24.2,22.9,15.6
Other Services,48.7,51.9,39.3,22.9,21.1,,,0.0,,26.7,16.1,16.8
